Predicate,trueCount,falseCount,P_true_fail,P_true_total,P_observed_fail,P_observed_success,failure,context,increase
bug.corrupted,11,389,3,11,9,391,0.2727,0.0225,0.2502
pred.USE_ADVANCED_FEATURES,400,0,9,400,9,391,0.0225,0.0225,0.0000
pred.algorithm_MD5,400,0,9,400,9,391,0.0225,0.0225,0.0000
pred.algorithm_SHA_256,0,400,0,0,9,391,0.0000,0.0225,-0.0225
pred.compression_ratio_gt_2_08,352,48,9,352,9,391,0.0256,0.0225,0.0031
pred.compression_ratio_gt_2_085,254,146,9,254,9,391,0.0354,0.0225,0.0129
pred.compression_ratio_gt_2_087,197,203,9,197,9,391,0.0457,0.0225,0.0232
pred.compression_ratio_gt_2_0875,70,330,9,70,9,391,0.1286,0.0225,0.1061
pred.compression_ratio_gt_2_08751,50,350,8,50,9,391,0.1600,0.0225,0.1375
pred.compression_ratio_gt_2_08752,36,364,8,36,9,391,0.2222,0.0225,0.1997
pred.compression_ratio_gt_2_08753,17,383,6,17,9,391,0.3529,0.0225,0.3304
pred.compression_ratio_gt_2_08754,6,394,1,6,9,391,0.1667,0.0225,0.1442
pred.file_no_gt_10,220,180,9,220,9,391,0.0409,0.0225,0.0184
pred.file_no_lt_10,160,240,0,160,9,391,0.0000,0.0225,-0.0225
pred.file_size_gt_10MB,183,217,9,183,9,391,0.0492,0.0225,0.0267
pred.file_size_gt_5MB,198,202,9,198,9,391,0.0455,0.0225,0.0230
pred.file_size_lt_10MB,217,183,0,217,9,391,0.0000,0.0225,-0.0225
pred.file_size_lt_5MB,202,198,0,202,9,391,0.0000,0.0225,-0.0225
